Title,Year,Rating,Rating count,Genre
The Shawshank Redemption,1994,9.3,2225161,Drama
The Godfather,1972,9.2,1533467,Crime
The Godfather: Part II,1974,9.0,1073363,Crime
The Dark Knight,2008,9.0,2199162,Action
12 Angry Men,1957,8.9,650404,Drama
Schindler's List,1993,8.9,1158683,Biography
The Lord of the Rings: The Return of the King,2003,8.9,1576371,Adventure
Pulp Fiction,1994,8.9,1745415,Crime
The Good the Bad and the Ugly,1966,8.8,658232,Western
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1589155,Action
Fight Club,1999,8.8,1773242,Drama
Forrest Gump,1994,8.8,1716481,Drama
Inception,2010,8.8,1951091,Action
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1112233,Action
The Lord of the Rings: The Two Towers,2002,8.7,1423752,Adventure
The Matrix,1999,8.7,1598651,Action
Goodfellas,1990,8.7,968426,Biography
One Flew Over the Cuckoo's Nest,1975,8.7,874814,Drama
Seven Samurai,1954,8.6,300830,Action
Seven,1995,8.6,1370186,Crime
City of God,2002,8.6,674625,Crime
Life Is Beautiful,1997,8.6,591377,Comedy
The Silence of the Lambs,1991,8.6,1206105,Crime
It's a Wonderful Life,1946,8.6,380667,Drama
Star Wars: Episode IV - A New Hope,1977,8.6,1184231,Action
Parasite,2019,8.6,377001,Comedy
Saving Private Ryan,1998,8.6,1178485,Drama
Spirited Away,2001,8.6,604828,Animation
The Green Mile,1999,8.6,1085713,Crime
Interstellar,2014,8.6,1402083,Adventure
Leon,1994,8.5,985801,Action
The Usual Suspects,1995,8.5,950729,Crime
Harakiri,1962,8.7,32794,Action
The Lion King,1994,8.5,898705,Animation
American History X,1998,8.5,997243,Drama
The Pianist,2002,8.5,689847,Biography
Terminator 2: Judgment Day,1991,8.5,958394,Action
Back to the Future,1985,8.5,994300,Adventure
Modern Times,1936,8.5,205255,Comedy
Psycho,1960,8.5,571432,Horror
Gladiator,2000,8.5,1281849,Action
City Lights,1931,8.5,157926,Comedy
Untouchable,2011,8.5,721263,Biography
The Departed,2006,8.5,1135825,Crime
Whiplash,2014,8.5,670177,Drama
The Prestige,2006,8.5,1128077,Drama
Once Upon a Time in the West,1968,8.5,287840,Western
Grave of the Fireflies,1988,8.5,216474,Animation
Casablanca,1942,8.5,499932,Drama
Joker,2019,8.5,762295,Crime
Cinema Paradiso,1988,8.5,215860,Drama
Rear Window,1954,8.4,422367,Mystery
Alien,1979,8.4,752606,Horror
Apocalypse Now,1979,8.4,578464,Drama
Memento,2000,8.4,1077729,Mystery
Raiders of the Lost Ark,1981,8.4,849771,Action
The Great Dictator,1940,8.4,192379,Comedy
The Lives of Others,2006,8.4,341907,Drama
Django Unchained,2012,8.4,1286912,Drama
Paths of Glory,1957,8.4,167477,Drama
The Shining,1980,8.4,847289,Drama
Avengers: Infinity War,2018,8.5,765544,Action
WALL·E,2008,8.4,956557,Animation
Sunset Blvd.,1950,8.4,190512,Drama
Spider-Man: Into the Spider-Verse,2018,8.4,311220,Animation
Princess Mononoke,1997,8.4,318892,Animation
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,433176,Comedy
Oldboy,2003,8.4,488829,Action
Witness for the Prosecution,1957,8.4,100582,Crime
Avengers: Endgame,2019,8.4,702009,Action
The Dark Knight Rises,2012,8.4,1454899,Action
Once Upon a Time in America,1984,8.4,294989,Crime
Aliens,1986,8.3,628153,Action
Your Name.,2016,8.4,165141,Animation
Coco,2017,8.4,333100,Animation
American Beauty,1999,8.3,1032742,Drama
Braveheart,1995,8.3,928202,Biography
1917,2019,8.3,286138,Drama
Das Boot,1981,8.3,221434,Adventure
3 Idiots,2009,8.4,321928,Comedy
Toy Story,1995,8.3,847656,Animation
High and Low,1963,8.5,27988,Crime
Taare Zameen Par,2007,8.4,155211,Drama
Star Wars: Episode VI - Return of the Jedi,1983,8.3,911898,Action
Amadeus,1984,8.3,354234,Biography
Reservoir Dogs,1992,8.3,878812,Crime
Inglourious Basterds,2009,8.3,1200878,Adventure
Good Will Hunting,1997,8.3,817519,Drama
2001: A Space Odyssey,1968,8.3,574495,Adventure
Vertigo,1958,8.3,341816,Mystery
Requiem for a Dream,2000,8.3,734820,Drama
M,1931,8.3,135731,Crime
Dangal,2016,8.4,139956,Action
Eternal Sunshine of the Spotless Mind,2004,8.3,870228,Drama
Citizen Kane,1941,8.3,381087,Drama
The Hunt,2012,8.3,261192,Drama
Capernaum,2018,8.4,44151,Drama
Full Metal Jacket,1987,8.3,644468,Drama
North by Northwest,1959,8.3,285383,Adventure
A Clockwork Orange,1971,8.3,726241,Crime
The Kid,1921,8.3,105487,Comedy
Snatch,2000,8.3,753297,Comedy
Bicycle Thieves,1948,8.3,136937,Drama
Singin' in the Rain,1952,8.3,208237,Comedy
Scarface,1983,8.3,704548,Crime
Taxi Driver,1976,8.3,685610,Crime
